trade_id,timestamp,symbol,direction,status,gate_combo_tag,rr_ratio,rejection_reason,outcome,margin_allocated,leverage,notional_position,dynamic_tp_pct,dynamic_sl_pct,actual_mfe_pct,actual_mae_pct,gross_return_pct,gross_pnl,fees_paid,slippage_cost,friction_tax,net_pnl,account_equity,drawdown_pct,shadow_net_pnl,date_utc
152,2026-07-31 01:15:00+00:00,DOGEUSDT,LONG,REJECTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,0.39,R:R Hurdle Failure: R:R = 0.39 < 1.00,SHADOW_TIME_CLOSE_EXIT,0.0,0.0,0.0,0.26,0.66,0.07,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,9988.05,0.51,-0.14,2026-07-31
153,2026-07-31 01:30:00+00:00,DOGEUSDT,SHORT,EXECUTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,1.72,None,TAKE_PROFIT_HIT,149.82,3.0,449.46,0.66,0.38,2.98,-0.4,0.66,2.95,0.36,0.45,0.81,2.15,9990.2,0.49,,2026-07-31
154,2026-07-31 01:30:00+00:00,ETHUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__HIGH_PROFIT,2.84,None,TAKE_PROFIT_HIT,149.85,5.0,749.27,0.98,0.35,3.68,-0.56,0.98,7.36,0.6,0.75,1.35,6.01,9996.21,0.43,,2026-07-31
155,2026-07-31 01:45:00+00:00,BTCUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,1.37,None,TAKE_PROFIT_HIT,149.94,5.0,749.72,0.9,0.66,3.25,-0.51,0.9,6.75,0.6,0.75,1.35,5.4,10001.61,0.38,,2026-07-31
156,2026-07-31 02:00:00+00:00,SOLUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,1.41,None,TIME_CLOSE_EXIT,150.02,5.0,750.12,0.88,0.62,0.85,-0.28,0.0,0.0,0.6,0.75,1.35,-1.35,10000.26,0.39,,2026-07-31
157,2026-07-31 06:15:00+00:00,SOLUSDT,LONG,EXECUTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,1.13,None,TIME_CLOSE_EXIT,150.0,3.0,450.01,0.71,0.63,0.01,-0.21,0.0,0.0,0.36,0.45,0.81,-0.81,9999.45,0.4,,2026-07-31
158,2026-07-31 06:30:00+00:00,SOLUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,2.65,None,TAKE_PROFIT_HIT,149.99,5.0,749.96,0.71,0.27,1.13,-0.55,0.71,5.3,0.6,0.75,1.35,3.95,10003.4,0.36,,2026-07-31
159,2026-07-31 13:15:00+00:00,SOLUSDT,LONG,REJECTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,0.58,R:R Hurdle Failure: R:R = 0.58 < 1.00,SHADOW_TIME_CLOSE_EXIT,0.0,0.0,0.0,0.38,0.65,0.01,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,10003.4,0.36,-0.81,2026-07-31
160,2026-07-31 13:30:00+00:00,SOLUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,3.51,None,TIME_CLOSE_EXIT,150.05,5.0,750.26,1.94,0.55,0.82,-0.57,0.07,0.53,0.6,0.75,1.35,-0.83,10002.58,0.37,,2026-07-31
161,2026-07-31 17:00:00+00:00,DOGEUSDT,LONG,REJECTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,0.65,R:R Hurdle Failure: R:R = 0.65 < 1.00,SHADOW_TAKE_PROFIT_HIT,0.0,0.0,0.0,0.52,0.81,1.02,-0.11,0.52,0.0,0.0,0.0,0.0,0.0,10002.58,0.37,0.27,2026-07-31
