trade_id,timestamp,symbol,direction,status,gate_combo_tag,rejection_reason,outcome,margin_allocated,leverage,notional_position,dynamic_tp_pct,dynamic_sl_pct,actual_mfe_pct,actual_mae_pct,gross_return_pct,gross_pnl,fees_paid,slippage_cost,friction_tax,net_pnl,account_equity,drawdown_pct,shadow_net_pnl,date_utc
25,2026-07-27 14:15:00+00:00,DOGEUSDT,SHORT,EXECUTED,HIGH_RISK__LOW_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,12.48,1.0,12.48,1.78,1.34,1.36,-1.28,-0.17,-0.02,0.01,0.01,0.02,-0.04,9987.4,0.13,,2026-07-27
26,2026-07-27 14:15:00+00:00,XRPUSDT,SHORT,EXECUTED,MED_RISK__LOW_QUAL__LOW_PROFIT,None,TAKE_PROFIT_HIT,24.97,2.5,62.42,2.14,0.89,4.72,-0.99,2.14,1.34,0.05,0.06,0.11,1.22,9988.63,0.11,,2026-07-27
27,2026-07-27 14:15:00+00:00,BTCUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,149.83,5.0,749.15,1.34,0.65,0.7,-0.81,-0.2,-1.5,0.6,0.75,1.35,-2.85,9985.78,0.14,,2026-07-27
28,2026-07-27 14:15:00+00:00,SOLUSDT,SHORT,EXECUTED,MED_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,74.89,2.5,187.23,1.95,1.29,1.04,-1.56,-0.21,-0.39,0.15,0.19,0.34,-0.73,9985.05,0.15,,2026-07-27
29,2026-07-27 17:45:00+00:00,BTCUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,74.89,2.5,187.22,0.6,0.4,0.09,-0.41,-0.18,-0.34,0.15,0.19,0.34,-0.67,9984.37,0.16,,2026-07-27
30,2026-07-27 19:15:00+00:00,ETHUSDT,LONG,EXECUTED,MED_RISK__LOW_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,24.96,2.5,62.4,1.14,0.68,0.24,-0.16,-0.45,-0.28,0.05,0.06,0.11,-0.39,9983.98,0.16,,2026-07-27
31,2026-07-27 20:00:00+00:00,SOLUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TAKE_PROFIT_HIT,74.88,2.5,187.2,0.29,0.58,0.32,-0.13,0.29,0.54,0.15,0.19,0.34,0.2,9984.18,0.16,,2026-07-27
32,2026-07-27 20:15:00+00:00,DOGEUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,74.88,2.5,187.2,0.32,0.58,0.11,-0.39,-0.36,-0.67,0.15,0.19,0.34,-1.01,9983.17,0.17,,2026-07-27
33,2026-07-27 21:15:00+00:00,SOLUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,None,TAKE_PROFIT_HIT,149.75,5.0,748.74,2.19,0.53,3.6,-0.42,2.19,16.42,0.6,0.75,1.35,15.07,9998.25,0.02,,2026-07-27
34,2026-07-27 21:15:00+00:00,BTCUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,None,TAKE_PROFIT_HIT,149.97,5.0,749.87,1.27,0.27,2.73,-0.12,1.27,9.52,0.6,0.75,1.35,8.17,10006.41,0.0,,2026-07-27
35,2026-07-27 21:30:00+00:00,DOGEUSDT,SHORT,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TAKE_PROFIT_HIT,75.05,2.5,187.62,1.27,0.43,3.53,-0.13,1.27,2.38,0.15,0.19,0.34,2.04,10008.46,0.0,,2026-07-27
36,2026-07-27 22:00:00+00:00,ETHUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__HIGH_PROFIT,None,TAKE_PROFIT_HIT,150.13,5.0,750.63,2.32,0.47,3.72,-0.18,2.32,17.38,0.6,0.75,1.35,16.03,10024.49,0.0,,2026-07-27
37,2026-07-28 06:15:00+00:00,BTCUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,75.18,2.5,187.96,0.26,0.29,0.23,-0.15,-0.04,-0.08,0.15,0.19,0.34,-0.41,10024.07,0.0,,2026-07-28
38,2026-07-28 06:30:00+00:00,ETHUSDT,LONG,EXECUTED,MED_RISK__LOW_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,25.06,2.5,62.65,0.48,0.51,0.16,-0.17,-0.12,-0.08,0.05,0.06,0.11,-0.19,10023.88,0.01,,2026-07-28
39,2026-07-28 06:45:00+00:00,DOGEUSDT,LONG,EXECUTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,37.59,1.0,37.59,0.49,0.81,0.14,-0.16,-0.37,-0.14,0.03,0.04,0.07,-0.21,10023.68,0.01,,2026-07-28
40,2026-07-28 08:00:00+00:00,ETHUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,150.36,5.0,751.78,0.77,0.41,0.0,-0.22,0.0,0.0,0.6,0.75,1.35,-1.35,10022.32,0.02,,2026-07-28
41,2026-07-28 08:15:00+00:00,ETHUSDT,LONG,EXECUTED,MED_RISK__LOW_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,25.06,2.5,62.64,0.51,0.4,0.06,-0.23,-0.01,-0.01,0.05,0.06,0.11,-0.12,10022.2,0.02,,2026-07-28
42,2026-07-28 08:45:00+00:00,BTCUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,150.33,5.0,751.67,0.71,0.21,0.05,-0.13,-0.11,-0.83,0.6,0.75,1.35,-2.18,10020.03,0.04,,2026-07-28
43,2026-07-28 09:00:00+00:00,ETHUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,150.3,5.0,751.5,0.82,0.28,0.12,-0.12,0.0,0.0,0.6,0.75,1.35,-1.35,10018.67,0.06,,2026-07-28
44,2026-07-28 09:15:00+00:00,ETHUSDT,LONG,EXECUTED,MED_RISK__LOW_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,25.05,2.5,62.62,0.4,0.34,0.05,-0.08,0.0,0.0,0.05,0.06,0.11,-0.11,10018.56,0.06,,2026-07-28
45,2026-07-28 09:15:00+00:00,SOLUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,75.14,2.5,187.85,0.44,0.42,0.11,-0.1,-0.07,-0.13,0.15,0.19,0.34,-0.47,10018.09,0.06,,2026-07-28
46,2026-07-28 09:15:00+00:00,DOGEUSDT,SHORT,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,75.14,2.5,187.84,0.53,0.37,0.07,-0.1,0.0,0.0,0.15,0.19,0.34,-0.34,10017.75,0.07,,2026-07-28
47,2026-07-28 09:30:00+00:00,DOGEUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,75.13,2.5,187.83,0.3,0.4,0.04,-0.19,0.0,0.0,0.15,0.19,0.34,-0.34,10017.41,0.07,,2026-07-28
48,2026-07-28 09:30:00+00:00,ETHUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,150.26,5.0,751.31,0.69,0.29,0.56,-0.13,-0.04,-0.3,0.6,0.75,1.35,-1.65,10015.76,0.09,,2026-07-28
49,2026-07-28 09:30:00+00:00,BTCUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,75.12,2.5,187.8,0.22,0.25,0.1,-0.06,0.0,0.0,0.15,0.19,0.34,-0.34,10015.42,0.09,,2026-07-28
50,2026-07-28 09:45:00+00:00,SOLUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,150.23,5.0,751.16,1.27,0.42,0.51,-0.2,-0.08,-0.6,0.6,0.75,1.35,-1.95,10013.47,0.11,,2026-07-28
51,2026-07-28 09:45:00+00:00,BTCUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,150.2,5.0,751.01,0.82,0.36,0.16,-0.26,-0.13,-0.98,0.6,0.75,1.35,-2.33,10011.14,0.13,,2026-07-28
52,2026-07-28 09:45:00+00:00,DOGEUSDT,SHORT,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TAKE_PROFIT_HIT,75.08,2.5,187.71,0.61,0.41,1.3,-0.29,0.61,1.15,0.15,0.19,0.34,0.82,10011.96,0.12,,2026-07-28
53,2026-07-28 12:45:00+00:00,ETHUSDT,LONG,EXECUTED,HIGH_RISK__LOW_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,12.51,1.0,12.51,0.91,0.94,0.2,-0.56,-1.22,-0.15,0.01,0.01,0.02,-0.18,10011.78,0.13,,2026-07-28
54,2026-07-28 12:45:00+00:00,SOLUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,75.09,2.5,187.72,0.81,0.57,0.1,-0.2,-0.14,-0.26,0.15,0.19,0.34,-0.6,10011.18,0.13,,2026-07-28
55,2026-07-28 12:45:00+00:00,BTCUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,75.08,2.5,187.71,0.39,0.46,0.07,-0.18,-0.05,-0.09,0.15,0.19,0.34,-0.43,10010.75,0.14,,2026-07-28
56,2026-07-28 13:15:00+00:00,SOLUSDT,SHORT,EXECUTED,MED_RISK__HIGH_QUAL__LOW_PROFIT,None,TAKE_PROFIT_HIT,75.08,2.5,187.7,0.58,0.72,0.89,-0.42,0.58,1.09,0.15,0.19,0.34,0.76,10011.51,0.13,,2026-07-28
